pincode,postal_code,locality,city,statename
110001,DL0184,Copernicus Marg,Delhi,Delhi
110001,DL0185,Curzon Rd,Delhi,Delhi
110001,DL0200,Dealer Dent Paint,Delhi,Delhi
110001,DL0187,Deen Dayal Upadhyaya Marg,Delhi,Delhi
110001,DL1009,Des Loc-7,Delhi,Delhi
110001,DL0219,Doctors Lane,Delhi,Delhi
110001,DL0251,Feroze Shah Rd,Delhi,Delhi
110001,DL0252,Fire Brigade Lane,Delhi,Delhi
110001,DL0290,Gole Dakhana,Delhi,Delhi
110001,DL0291,Gole Market,Delhi,Delhi
110001,DL0356,Jantar Mantar Rd,Delhi,Delhi
110001,DL0386,Kali Bari Marg,Delhi,Delhi
110001,DL0404,Kasturba Gandhi Marg,Delhi,Delhi
110001,DL0441,Ladakh Buddha Vihar,Delhi,Delhi
110001,DL0442,Ladha Sarai,Delhi,Delhi
110001,DL0486,Mansarover Park Shahdara ,Delhi,Delhi
110001,DL0939,Ne Dealer Dent Paint,Delhi,Delhi
110001,DL0940,Nw Dealer Dent Paint,Delhi,Delhi
110001,DL0610,Officers Enclave,Delhi,Delhi
110001,DL0642,Parliament Street,Delhi,Delhi
110001,DL0674,Punchkuian Rd,Delhi,Delhi
110001,DL0757,Sardar Patel Marg,Delhi,Delhi
110001,DL0938,Se Dealer Dent Paint,Delhi,Delhi
110001,DL0800,Shastri Bhavan,Delhi,Delhi
110001,DL0882,Tolstoy Marg,Delhi,Delhi
110001,DL0900,Vayu Bhavan,Delhi,Delhi
110001,DL0931,Windsor Place,Delhi,Delhi
110002,DL0702,RAJGHAT,DELHI,DELHI
110002,DL0190,DAKHNI RAI STREET,DELHI,DELHI
110002,DL0195,DARYAGANJ,DELHI,DELHI
110002,DL0339,INDRAPRASTHA ESTATE,DELHI,DELHI
110002,DL0392,KAMLA MARKET,DELHI,DELHI
110002,DL0514,MINTO RD,DELHI,DELHI
110002,DL0877,TILAK BRIDGE,DELHI,DELHI
110002,DL0014,AJMERI GATE,DELHI,DELHI
110002,DL0034,ANSARI RD,DELHI,DELHI
110002,DL0048,ASAF ALI ROAD,DELHI,DELHI
110002,DL0069,AZAD MARG,DELHI,DELHI
110002,DL0083,BAHADUR SHAH ZAFAR MARG,DELHI,DELHI
110002,DL0341,INDRAPRASTHA EXTN,DELHI,DELHI
110002,DL0001,A G C R ENCLAVE,DELHI,DELHI
110002,DL0014,AJMERI GATE,DELHI,DELHI
110002,DL0034,ANSARI RD,DELHI,DELHI
110002,DL0048,ASAF ALI ROAD,DELHI,DELHI
110002,DL0069,AZAD MARG,DELHI,DELHI
110002,DL0083,BAHADUR SHAH ZAFAR MARG,DELHI,DELHI
110002,DL0190,DAKHNI RAI STREET,DELHI,DELHI
110002,DL0195,DARYAGANJ,DELHI,DELHI
110002,DL0187,DEEN DAYAL UPADHYAYA MARG,DELHI,DELHI
110002,DL0339,INDRAPRASTHA ESTATE,DELHI,DELHI
110002,DL0341,INDRAPRASTHA EXTN,DELHI,DELHI
110002,DL0392,KAMLA MARKET,DELHI,DELHI
110002,DL0514,MINTO RD,DELHI,DELHI
110002,DL0702,RAJGHAT,DELHI,DELHI
110002,DL0877,TILAK BRIDGE,DELHI,DELHI
110002,DL0014,Ajmeri Gate,Delhi,Delhi
110002,DL0034,Ansari Rd,Delhi,Delhi
110002,DL0048,Asaf Ali Road,Delhi,Delhi
110002,DL0069,Azad Marg,Delhi,Delhi
110002,DL0083,Bahadur Shah Zafar Marg,Delhi,Delhi
110002,DL0190,Dakhni Rai Street,Delhi,Delhi
