pincode,locality,city,statename,
845412,Harpur Nag BO,PURBI CHAMPARAN,BIHAR,
845315,Bagaha Champaran BO,PURBI CHAMPARAN,BIHAR,
845315,Mathia Bhopat BO,PURBI CHAMPARAN,BIHAR,
845414,Bokane Kala BO,PURBI CHAMPARAN,BIHAR,
845302,Barawa BO,PURBI CHAMPARAN,BIHAR,
845302,Darpa BO,PURBI CHAMPARAN,BIHAR,
845302,Tikulia BO,PURBI CHAMPARAN,BIHAR,
845302,Tinkoni BO,PURBI CHAMPARAN,BIHAR,
845415,Semra BO,PURBI CHAMPARAN,BIHAR,
845416,Kuriya BO,PURBI CHAMPARAN,BIHAR,
845416,Parsurampur BO,PURBI CHAMPARAN,BIHAR,
845417,Ahiraulia BO,PURBI CHAMPARAN,BIHAR,
845417,Bhatwalia BO,PURBI CHAMPARAN,BIHAR,
845418,Harnatha BO,PURBI CHAMPARAN,BIHAR,
845418,Raghopur Gangapipar BO,PURBI CHAMPARAN,BIHAR,
845418,Semra Sagardina BO,PURBI CHAMPARAN,BIHAR,
845418,Jhauaram BO,PURBI CHAMPARAN,BIHAR,
845303,Kadamawa BO,PURBI CHAMPARAN,BIHAR,
845419,Chandi Sthan BO,PURBI CHAMPARAN,BIHAR,
845420,Bazitpur BO,PURBI CHAMPARAN,BIHAR,
845420,Bhelwa BO,PURBI CHAMPARAN,BIHAR,
845420,Moglania BO,PURBI CHAMPARAN,BIHAR,
845422,Dhawahi BO,PURBI CHAMPARAN,BIHAR,
845422,Jadopur BO,PURBI CHAMPARAN,BIHAR,
845422,Nonea BO,PURBI CHAMPARAN,BIHAR,
845422,Rai Kararia BO,PURBI CHAMPARAN,BIHAR,
845422,Son Barsa BO,PURBI CHAMPARAN,BIHAR,
845423,Belwa Madho BO,PURBI CHAMPARAN,BIHAR,
845440,Gad Bahuari BO,PURBI CHAMPARAN,BIHAR,
845424,Bairiya BO,PURBI CHAMPARAN,BIHAR,
845424,Tajpur Patkhaulia BO,PURBI CHAMPARAN,BIHAR,
845304,Barwa Khurd BO,PURBI CHAMPARAN,BIHAR,
845304,Gurhanawa BO,PURBI CHAMPARAN,BIHAR,
845304,Karmawa BO,PURBI CHAMPARAN,BIHAR,
845304,Phulwaria BO,PURBI CHAMPARAN,BIHAR,
845402,Ajgarhimath BO,PURBI CHAMPARAN,BIHAR,
845401,Laxmipur BO,PURBI CHAMPARAN,BIHAR,
845401,Sirsa Colony BO,PURBI CHAMPARAN,BIHAR,
845401,Suraha BO,PURBI CHAMPARAN,BIHAR,
845426,Puran Chapra BO,PURBI CHAMPARAN,BIHAR,
845426,Sirsia Ganesh BO,PURBI CHAMPARAN,BIHAR,
845427,Noonfarwa BO,PURBI CHAMPARAN,BIHAR,
845428,Itwa BO,PURBI CHAMPARAN,BIHAR,
845457,Mirzapur BO,PURBI CHAMPARAN,BIHAR,
845457,Parsauni Kapoor BO,PURBI CHAMPARAN,BIHAR,
845430,Bisunpur Basant BO,PURBI CHAMPARAN,BIHAR,
845430,Ibrahimpur Parsauni BO,PURBI CHAMPARAN,BIHAR,
845430,Izor Bara BO,PURBI CHAMPARAN,BIHAR,
845430,Kalu Pakar BO,PURBI CHAMPARAN,BIHAR,
845431,Jhitkahia BO,PURBI CHAMPARAN,BIHAR,
845406,Madhopur Keso BO,PURBI CHAMPARAN,BIHAR,
845406,Noniman BO,PURBI CHAMPARAN,BIHAR,
845432,Bhgwatia BO,PURBI CHAMPARAN,BIHAR,
845432,Hazipur BO,PURBI CHAMPARAN,BIHAR,
845432,Raghunathpur BO,PURBI CHAMPARAN,BIHAR,
845433,Amodei BO,PURBI CHAMPARAN,BIHAR,
845433,Andhra BO,PURBI CHAMPARAN,BIHAR,
845433,Bairiya BO,PURBI CHAMPARAN,BIHAR,
845433,Bela BO,PURBI CHAMPARAN,BIHAR,
845433,Majharia BO,PURBI CHAMPARAN,BIHAR,
845305,Bhelahi BO,PURBI CHAMPARAN,BIHAR,
845305,Gonaha BO,PURBI CHAMPARAN,BIHAR,
845305,Hardiya BO,PURBI CHAMPARAN,BIHAR,
845305,Kaurihar BO,PURBI CHAMPARAN,BIHAR,
845305,Noniyadih BO,PURBI CHAMPARAN,BIHAR,
845434,Manglapur Rajpur BO,PURBI CHAMPARAN,BIHAR,
845434,Puchharia BO,PURBI CHAMPARAN,BIHAR,
845434,Thikaha Bhawanipur BO,PURBI CHAMPARAN,BIHAR,
845435,Mukhalishpur Pachrukha BO,PURBI CHAMPARAN,BIHAR,
845456,Bhataha BO,PURBI CHAMPARAN,BIHAR,
845456,Mali BO,PURBI CHAMPARAN,BIHAR,
845437,Jagiraha BO,PURBI CHAMPARAN,BIHAR,
845437,Kotwa BO,PURBI CHAMPARAN,BIHAR,
845437,Makhuwa BO,PURBI CHAMPARAN,BIHAR,
845437,Sapahi BO,PURBI CHAMPARAN,BIHAR,
847401,Pastan BO,MADHUBANI,BIHAR,
847222,Jafra BO,MADHUBANI,BIHAR,
847222,Nagdah Balain BO,MADHUBANI,BIHAR,
847222,Nagwas BO,MADHUBANI,BIHAR,
847224,Kharagwani BO,MADHUBANI,BIHAR,
847224,Tirhuta BO,MADHUBANI,BIHAR,
847102,Massa BO,MADHUBANI,BIHAR,
847225,Ghorabanki BO,MADHUBANI,BIHAR,
847225,Jaso BO,MADHUBANI,BIHAR,
847225,Kamalpur BO,MADHUBANI,BIHAR,
847225,Kataya BO,MADHUBANI,BIHAR,
847225,Marhia BO,MADHUBANI,BIHAR,
847223,Kataiya BO,MADHUBANI,BIHAR,
847223,Parsauni BO,MADHUBANI,BIHAR,
847212,Kakna BO,MADHUBANI,BIHAR,
847402,Alola BO,MADHUBANI,BIHAR,
847402,Baikabishanpur BO,MADHUBANI,BIHAR,
852133,Baskhora BO,SUPAUL,BIHAR,
847402,Basuari BO,MADHUBANI,BIHAR,
847402,Hatni BO,MADHUBANI,BIHAR,
847412,Saini BO,MADHUBANI,BIHAR,
847226,Dorbar BO,MADHUBANI,BIHAR,
847226,Padma BO,MADHUBANI,BIHAR,
